,$\rho r_{hs}$,$\delta \rho r_{hs}$,$\rho r_{bar}$
0,1.0,0.125,0.01
1,1.0,0.125,0.035
2,1.5,0.125,0.06
3,1.25,0.125,0.085
4,0.75,0.125,0.11
