,$\rho r_{hs}$,$\delta \rho r_{hs}$,$\rho r_{bar}$
0,1.16,0.05499999999999999,0.135
1,1.16,0.05499999999999999,0.26
2,0.72,0.05499999999999999,0.385
3,1.05,0.05499999999999999,0.51
